id,completion,channel
0SH9901__0055,"Experience the interplay of geometry and material in Starck PL9901 eyeglasses. The rectangle shape, crafted from durable metal, is a perfect canvas for experimentation. The matte silver finish adds a touch of sophistication to the overall design while ensuring durability. These glasses are as practical as they are stylish. Embrace your individuality with these unique eyewear by Starck. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SH5030__000180,"Elevate your fashion while optimizing utility with Starck SH5030 sunglasses. The pillow shape and solid color lens treatment give these glasses a unique and sophisticated look. The dark blue lenses add a touch of mystery, while the black frame provides a sleek and modern aesthetic. These shades are not only stylish but also versatile. These sunglasses are available with prescription lenses.",GL - Glasses
0RY1536__3731,"Experience the perfect blend of style and comfort with Ray-Ban RB1536 Optics Kids eyeglasses. These square-shaped frames are crafted from durable acetate, ensuring a comfortable fit for your little ones. The polished blue gradient frame color adds a pop of color and a touch of sophistication to any outfit. With Ray-Ban RB1536 Optics Kids, your children will look stylish while wearing glasses that are both practical and fun. These eyeglasses are available with prescription lenses.",TO - Target Optical
0SF2570__488,"Experience the perfect blend of style and comfort with Sferoflex SF2570 eyeglasses. The polished, shiny copper color of the frame adds a touch of sophistication to any outfit. The rectangle shape is a timeless choice, making these glasses suitable for everyday wear. Crafted from durable steel, these frames are designed to last. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|CL - Clearly|OPSM - OPSM
0SF2271__526,"Experience the perfect balance of style and performance with Sferoflex SF2271 eyeglasses. Crafted from durable metal, these glasses feature a polished silver black frame in a timeless rectangle shape, offering a sophisticated look. The black accents add a touch of modernity to the design. These shades are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2291__352,"Experience the perfect blend of style and comfort with Sferoflex SF2291 eyeglasses. The rectangle shape, crafted from durable metal, offers a sleek and modern look. The polished finish in a rich brown color adds a touch of sophistication to any outfit. These glasses are not just stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM
0RY1594__3811,"Introduce your child to the world of eyewear with Ray-Ban RB1594 Optics Kids. The phantos shape and key bridge offer a timeless look, while the polished transparent blue frame adds a playful touch. These eyeglasses are not only stylish but also practical, making them an ideal choice for your little one. These eyeglasses are available with prescription lenses.",TO - Target Optical|LC - Lens Crafters|DC - David Clulow|SV - Salmoiraghi e Viganò|DC - David Clulow
0RX8748__1131,"Experience the epitome of style and performance integration with Ray-Ban RB8748 Optics. The square shape and polished finish give these eyeglasses a timeless appeal, while the titanium frame material ensures durability and comfort. The light brown color adds a touch of sophistication to any look. These shades are not just a fashion statement but also an excellent choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RX8748__1128,"Elevate your eyewear game with Ray-Ban RB8748 Optics. The titanium frame, known for its lightweight and durability, offers a square shape that adds a modern touch to any look. The matte gunmetal finish gives these glasses a sleek and sophisticated appeal. These shades are not just stylish but also practical. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RX8064V__1220,"Experience the epitome of luxury and performance with Ray-Ban RB8064 Titanium Optics. The irregular shape, combined with a polished gold titanium frame in a unique color, creates a stylish and avant-garde look. These eyeglasses are not only fashionable but also durable, making them an ideal choice for everyday wear. Embrace the future of optical fashion with these revolutionary frames. These eyeglasses are available with prescription lenses.",GL - Glasses
0RX8420__2900,"Ray-Ban RB8420 eyeglasses seamlessly integrate style and performance. The square shape and polished finish give these frames a modern look, while the durable steel material ensures longevity. The frame color, a striking blue, adds a pop of color to any outfit. These glasses are not only stylish but also versatile. These eyeglasses are available with prescription lenses.",GL - Glasses
0RY1570__3542,"Experience the perfect blend of style and comfort with Ray-Ban RB1570 Optics Kids eyeglasses. The square shape, combined with a polished black frame, creates a timeless look that is ideal for any occasion. These glasses are designed to fit children's faces perfectly, ensuring maximum comfort and a stylish look. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical
0RX7173F__2000,"Experience the perfect blend of style and comfort with Ray-Ban RB7173 eyeglasses. Crafted from durable acetate, these glasses feature a polished black finish that adds a touch of sophistication to any look. The phantos shape and key bridge design create a timeless aesthetic that is versatile enough for daily wear. Embrace your unique style with these sophisticated shades. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RL6201__5003,"Experience the impeccable synergy of style and comfort in Ralph Lauren RL6201 eyeglasses. These pillow-shaped frames are crafted from durable acetate, offering a comfortable fit and a sleek look. The polished shiny dark havana finish adds a touch of sophistication to your everyday style. These glasses are a versatile choice for those seeking both fashion and function. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses
0RX4340V__5902,"Unveil a new era of optical fashion with Ray-Ban Wayfarer Ease eyeglasses. The square shape and polished finish give these frames a modern and sleek look. Crafted from durable, the grey havana frame color adds a touch of sophistication to any outfit. These glasses are not only stylish but also functional. Embrace the timeless design of Ray-Ban Wayfarer Ease while expressing your individuality through impeccable style. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|SV - Salmoiraghi e Viganò|OPSM - OPSM
0RX5150__2034,"Elevate your look with Ray-Ban RB5150 Optics. The polished black on transparent acetate frame in a rectangle shape offers a modern twist to the iconic design. These eyeglasses feature a unique color contrast, making them stand out from the crowd. Crafted with precision and care, these frames are designed to last. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses|LC - Lens Crafters|SV - Salmoiraghi e Viganò|OPSM - OPSM|GL - Glasses
0RX5362__5776,"Elevate your fashion while optimizing utility with Ray-Ban RB5362 Optics. The butterfly shape and polished finish of the frame, crafted from durable acetate, exude a sophisticated allure. The eyeglasses feature a striking blue color that adds a pop of color to any outfit. These frames are not just stylish but also practical. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|OPSM - OPSM|TO - Target Optical|LC - Lens Crafters
0RX5362__8068,"Embrace the unique synergy of style and comfort with Ray-Ban RB5362 Optics. The butterfly shape, crafted from durable acetate, features a polished striped brown finish that adds a touch of sophistication to any look. These eyeglasses come in a versatile black color, making them a perfect choice for everyday wear. Choose these frames and express your individuality with style. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX3857V__3108,"Experience the epitome of luxury and sophistication with Ray-Ban Frank Optics. The square shape, crafted from durable metal, offers a modern and timeless look. The polished gold frame color adds a touch of elegance, making these eyeglasses a versatile choice for any style. Embrace the synergy of fashion and functionality with Ray-Ban Frank Optics. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses
0RX6434__2502,"Elevate your style quotient while optimizing comfort and functionality with Ray-Ban RB6434 Optics. Crafted from durable metal, these square-shaped glasses feature a polished gunmetal finish that adds a touch of sophistication to any look. The black frame color offers a sleek contrast to the silver hardware, creating a modern and stylish aesthetic. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX6434__2945,"Elevate your fashion while optimizing utility with Ray-Ban RB6434 Optics. The square shape and polished metal frame in a unique havana on gold color, offer a modern twist to the iconic aviator design. Crafted with precision, these eyeglasses are not only stylish but also durable. Embrace your individuality with Ray-Ban RB6434 Optics. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX7045__5364,"Ray-Ban Chris Optics are a perfect blend of style and functionality. The square shape and matte black frame color give these eyeglasses a sleek, modern look. The key bridge design adds a touch of vintage charm to the overall aesthetic. These frames are versatile enough to suit any fashion preference. These eyeglasses are available with prescription lenses.",GL - Glasses
0RX7017__8122,"Ray-Ban RB7017 Optics are a perfect blend of style and functionality. The polished, transparent blue frame in a rectangle shape offers a modern twist to the iconic design. These eyeglasses feature a unique color contrast that adds a touch of sophistication to any look. With its versatile design, these frames can be paired with any outfit for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0RX3946V__8049,"Elevate your fashion and optometric standards with Ray-Ban Clubmaster Oval Optics. The oval shape of these eyeglasses adds a touch of sophistication to any look, while the polished black acetate frame ensures durability and comfort. These frames are versatile and can be paired with any outfit for a polished look. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX7177__5995,"Experience the epitome of optical excellence and style integration in Ray-Ban RB7177 Optics. The square shape and polished finish give these eyeglasses a sleek, modern look. The frame is made from transparent violet material, adding a pop of color to your look. These shades are not just stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM|TO - Target Optical
0RX7185F__2000,"Elevate your style quotient with Ray-Ban RB7185F eyeglasses. Crafted in a polished black finish, these square-shaped frames feature a key bridge design that adds a unique touch to your look. The sturdy construction and high-quality material ensure durability and comfort for everyday wear. Embrace the versatility of Ray-Ban RB7185F and enjoy effortless sophistication on the go. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0RY1555F__3580,"Ray-Ban RB1555F Optics Kids eyeglasses are a perfect blend of style and comfort for your little ones. The square shape and polished finish give these glasses a timeless appeal, while the havana on opal pink frame color adds a touch of fun and vibrancy. Crafted from durable acetate, these frames are designed to withstand the rigors of everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RY1536__3803,"Embrace the playful spirit of your little ones with Ray-Ban RB1536 Optics Kids eyeglasses. Crafted from durable acetate, these square-shaped frames are designed to withstand rough handling and ensure a comfortable fit. The polished black on grey finish adds a touch of sophistication, making these glasses a stylish choice for kids. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RY1570__3721,"Experience the perfect blend of style and comfort with Ray-Ban RB1570 Optics Kids eyeglasses. The square shape and polished finish offer a modern and trendy look, while the frame color in transparent blue adds a touch of fun. These glasses are not only stylish but also durable, making them ideal for everyday wear. These eyeglasses are available with prescription lenses.",TO - Target Optical|SV - Salmoiraghi e Viganò|TO - Target Optical
0RY1536__3802,"Ray-Ban RB1536 Optics Kids eyeglasses are a perfect blend of style and comfort for your little ones. The square shape, crafted from durable acetate, offers a modern and trendy look. The polished havana on pink brown frame color adds a pop of color to any outfit, making these glasses a fun accessory for your child. These eyeglasses are available with prescription lenses.",TO - Target Optical
0SF2271__103,"Experience the interplay of style and functionality with Sferoflex SF2271 eyeglasses. The rectangle shape, crafted from durable metal, is a versatile choice that suits most face shapes. The polished silver frame color adds a touch of sophistication to your look. These frames are designed to last and provide superior vision. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2292__352,"Experience the perfect blend of style and comfort with Sferoflex SF2292 eyeglasses. Crafted from durable metal, these square-shaped frames feature a polished finish in a sophisticated brown color, offering a timeless appeal. The black accent on the temples adds a touch of elegance. These glasses are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SF5010S__268_87,"Elevate your fashion while optimizing utility with Sferoflex SF5010S sunglasses. The polished gunmetal frame, crafted from durable metal, features a unique pillow shape that adds a touch of vintage charm to any look. The solid grey lenses provide excellent protection against the sun's harmful rays and enhance contrast for superior visibility. These glasses are not only stylish but also practical. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0RX3947V__2503,"Ray-Ban Round Gaze eyeglasses are a modern take on the iconic round shape. The metal frame is lightweight and durable, ensuring a comfortable fit for long-term wear. The matte black finish adds a touch of sophistication to these frames, making them suitable for both casual and formal occasions. These glasses are versatile enough to suit any style preference. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2553__108,"Experience the perfect balance of style and performance with Sferoflex SF2553 eyeglasses. The square shape and polished gold frame, crafted from durable steel, exude a timeless appeal. These glasses are not only stylish but also practical. Embrace the versatility of these frames and enjoy a seamless integration of fashion and functionality. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|CL - Clearly
0SF2579__509,"Achieve a perfect balance between style and functionality with Sferoflex SF2579 eyeglasses. The oval shape, crafted from durable metal, adds a touch of sophistication to any look. The polished frame in a chic pink color is sure to make a statement. These frames are versatile enough for everyday wear, making them an excellent addition to your eyewear collection. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2584__267,"Sferoflex SF2584 eyeglasses seamlessly combine style and functionality. The irregular shape of the metal frame adds a touch of uniqueness to your look, while the polished copper finish gives it a sophisticated appeal. These glasses are not only stylish but also practical, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM|CL - Clearly
0SF2595__494,"Achieve the perfect balance between style and performance with Sferoflex SF2595 eyeglasses. The polished, shiny plum metal frame in a rectangle shape offers a modern twist to a timeless design. These frames are not only stylish but also durable. With their versatile appeal, these glasses will complement any outfit and any occasion. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF2592B__267,"Elevate your fashion with Sferoflex SF2592B eyeglasses. The irregular shape and metal frame, combined with light copper color, give these glasses a unique and sophisticated look. The polished finish adds a touch of elegance, while the strass detailing adds a playful element. These eyeglasses are not only stylish but also versatile. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SF5002S__103_11,"Experience the impeccable synergy of optical precision and impeccable design in Sferoflex SF5002S sunglasses. The rectangle shape, crafted from durable metal, adds a touch of sophistication to any look. The polished silver frame finish perfectly complements the grey gradient lenses, providing a sleek and stylish aesthetic. These shades are not only a fashionable accessory but also an excellent choice for everyday wear. Embrace the unique style and superior vision offered by Sferoflex SF5002S. These sunglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM
0SF5504S__C36787,"Elevate your fashion while optimizing utility with Sferoflex SF5504S sunglasses. These glasses feature a butterfly shape, crafted from durable acetate material. The polished black frame, paired with solid grey lenses, offers a sleek and sophisticated look. Embrace the timeless appeal of these shades and enjoy their practical benefits wherever you go. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0SF2595__524,"Elevate your fashion and optical standards with Sferoflex SF2595 eyeglasses. The rectangle shape, crafted from durable metal, offers a modern and sophisticated look. The polished finish in a dark blue color adds a touch of elegance to any outfit. These glasses are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0SF5502S__C21313,"Elevate your style with Sferoflex SF5502S sunglasses. The polished havana acetate frame, in a unique pillow shape, offers a modern and sophisticated look. The gradient brown lenses add a touch of elegance to the design. These glasses are not only stylish but also versatile. Embrace the optical synergy between fashion and protection with these stunning shades. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0SH3074__0003,"Elevate your eyewear game with Starck SH3074. Crafted in a phantos shape, these glasses feature a matte black and crystal color that adds a touch of sophistication to any look. The frame is made from durable material, ensuring longevity. These eyeglasses are not only stylish but also practical. Embrace the power of impeccable design with Starck SH3074. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH5029__000287,"Experience the perfect synergy of style and performance with Starck SH5029 sunglasses. These glasses feature a phantos shape, adding a touch of sophistication to your look. The frame is made of durable material in a striking blue color, complemented by solid dark grey lenses. The key bridge design adds an element of uniqueness to these shades. These sunglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
